Accepted intervals:
Rejected intervals:
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-1, 1.227500000000001] ; [-1, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-1, 0.002375000000000461] ; [1.2275, 1.778806250000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-1, 0.002375000000000461] ; [1.77880625, 2.452625000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [0.00237500000000046, 1.227500000000001] ; [1.2275, 1.778806250000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [0.00237500000000046, 1.227500000000001] ; [1.77880625, 2.452625000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-1, 1.227500000000001] ; [2.452625, 3.950000000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2275, 1.778806250000001] ; [-1, 0.002375000000000461] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 2.082024687500002] ; [-1, -0.5489312499999997] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.248794828125002] ; [-1, -0.7970190624999998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.248794828125001, 2.340518405468752] ; [-1, -0.7970190624999998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.340518405468751, 2.390966373007814] ; [-1, -0.9086585781249998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.340518405468751, 2.452625000000001] ; [-0.9086585781249999, -0.7970190624999998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.452625000000001] ; [-0.7970190624999999, -0.5489312499999997] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 2.452625000000001] ; [-0.5489312499999998, 0.002375000000000461] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2275, 1.778806250000001] ; [0.00237500000000046, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 2.452625000000001] ; [0.00237500000000046, 0.5536812500000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 2.082024687500002] ; [0.5536812500000005, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.452625000000001] ; [0.5536812500000005, 0.8568996875000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.248794828125002] ; [0.8568996875000005, 1.023669828125001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.248794828125001, 2.340518405468752] ; [0.8568996875000005, 1.023669828125001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.340518405468751, 2.452625000000001] ; [0.8568996875000005, 0.9319462507812508] ; [-0.05000000000000001, 0.05000000000000001])
